,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male)
51,Croatia,SouthernEurope,56594,4189,74.9,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,91,91,13648,21830,-0.4,59,0.1,14.7,26.8,7.8,3.1,4.6,97.8,95.8,1.780666667,80.4,73.6,98.1,97.8,100.6,95.9,79.8,58.8
52,Cuba,Caribbean,109884,11485,107.9,87206,4.4,7656.6,5,20.5,74.5,12.9,11.7,75.3,3,100,101,18000,4911,0.2,77.1,0.1,16,20.1,11.1,7.5,4.38,94.4,89.1,2.745333333,81.3,77.1,94.9,100.1,102.7,98.2,43,30.1
53,Cyprus,WesternAsia,9251,1180,127.7,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80,80,1920,6604,0.9,66.9,0.9,16.8,18.5,7.4,2.5,6.1,100,100,2.991333333,82.2,77.7,99.3,99.3,99.4,100.1,69.4,51.1
54,Czechia,EasternEurope,78868,10618,137.5,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,102,102,161248,140316,0.1,73,0.3,15.4,25.6,7.4,3.7,4.1,99.1,99.2,1.204666667,81.2,75.1,99.9,99.6,106.1,105.1,76.3,54.2
55,Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,16283,-1.1,648,21.6,46.2,32.2,58.9,19.3,21.8,4.3,104,103,1010,2757,0.5,60.9,0.7,20.6,13.5,7.666666667,2.8,4.233333333,87.9,72.5,8.932666667,74.1,67.2,76.9,76.7,93.9,92.9,19.8,36
56,Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104,104,5103,5906,3.3,42.5,4,46.3,4.7,4.3,1.653333333,2.2,28.5,28.7,8.01,59.5,56.7,101.8,112,33.3,53.6,4.2,9.1
57,Denmark,NorthernEurope,42921,5734,135.1,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,105,105,94355,85133,0.5,87.7,0.6,16.5,25.3,10.8,3.6,8.6,99.6,99.6,0.994666667,82.2,78.1,100.7,102.3,133.4,128.3,96.3,69.7
58,Djibouti,EasternAfrica,23200,957,41.3,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,133,133,134,987,1.7,77.3,1.6,31.1,6.4,10.6,0.2,5.086666667,59.8,5.1,6.766,63.2,60,60.9,68.6,43.5,52.9,4,5.9
59,Dominica,Caribbean,750,74,98.6,512,-1.8,7051.1,15.4,13.2,71.5,15.05333333,16.47333333,66.24666667,11,110,111,23,214,0.5,69.5,0.8,23.47333333,17.39333333,5.5,1.32,4.993333333,89.85333333,83.69333333,2.36,79.34666667,73.95333333,114.8,117.2,99.8,101.2,43.1,29.07333333
60,Dominican Republic,Caribbean,48671,10767,222.8,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,14.4,136,138,3747,22725,1.2,79,2.6,29.3,10.2,4.4,1.5,3.966666667,86.2,75.7,0.43,76.4,70.2,98.7,108.1,81.7,74.1,65,35.4
